cohort,rcdts,school_name,district,city,county,district_type,district_size,school_type,grades_served,percent_student_enrollment_white,percent_student_enrollment_black_or_african_american,percent_student_enrollment_hispanic_or_latino,percent_student_enrollment_asian,percent_student_enrollment_native_hawaiian_or_other_pacific_islander,percent_student_enrollment_american_indian_or_alaska_native,percent_student_enrollment_two_or_more_races,number_student_enrollment,total_number_of_school_days,student_attendance_rate,student_chronic_truancy_rate,high_school_dropout_rate_total,high_school_4_year_graduation_rate_total,high_school_5_year_graduation_rate_total,avg_class_size_high_school,pupil_teacher_ratio_high_school,teacher_retention_rate,percent_graduates_enrolled_in_a_postsecondary_institution_within_16_months,percent_graduates_enrolled_in_a_postsecondary_institution_within_12_months,percent_9th_grade_on_track,number_students_who_took_ap_classes_grade_10_total,number_students_who_took_ap_classes_grade_11_total,number_students_who_took_ap_classes_grade_12_total
2013,10010010260001,Seymour High School              ,Payson CUSD 1                    ,Payson           ,Adams      ,UNIT       ,SMALL ,HIGH SCHOOL,7 8 9 10 11 12                 ,98.2,0.0,0.0,0.0,0.0,0.5,1.4,222,174,96.0,2.3,1.4,86.8,94.1,11.1,,,,,,,,
2013,10010020260001,Liberty High School              ,Liberty CUSD 2                   ,Liberty          ,Adams      ,UNIT       ,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12                 ,99.0,0.0,0.3,0.0,0.0,0.0,0.7,288,176,95.8,1.8,0.5,90.7,93.8,29.5,,,,,,,,
2013,10010030260001,Central High School              ,Central CUSD 3                   ,Camp Point       ,Adams      ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,97.8,0.0,0.0,0.0,0.4,0.0,1.8,273,175,93.3,5.7,0.0,96.9,89.7,12.7,,,,,,,,
2013,10010040260001,Unity High School                ,CUSD 4                           ,Mendon           ,Adams      ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,98.6,0.5,0.0,0.5,0.0,0.5,0.0,217,175,95.4,1.0,0.5,91.1,88.6,10.9,,,,,,,,
2013,10011720220003,Quincy Sr High School            ,Quincy SD 172                    ,Quincy           ,Adams      ,UNIT       ,LARGE ,HIGH SCHOOL,10 11 12                       ,87.0,8.0,1.5,0.6,0.0,0.1,2.8,1428,176,92.0,12.8,4.6,88.2,88.5,20.1,,,,,,,,
2013,10750030260002,Pleasant Hill High School        ,Pleasant Hill CUSD 3             ,Pleasant Hill    ,Pike       ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,99.1,0.0,0.0,0.0,0.0,0.0,0.9,108,175,94.4,5.4,1.9,82.8,95.2,13.2,,,,,,,,
2013,10750040260002,Griggsville-Perry High School    ,Griggsville-Perry CUSD 4         ,Griggsville      ,Pike       ,UNIT       ,SMALL ,HIGH SCHOOL,9 10 11 12                     ,97.0,0.0,0.0,0.0,0.0,0.0,3.0,99,175,93.7,6.8,4.0,77.4,68.2,10.6,,,,,,,,
2013,10750100260009,Pittsfield High School           ,Pikeland CUSD 10                 ,Pittsfield       ,Pike       ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,97.2,0.0,1.1,0.8,0.0,0.0,0.8,361,174,93.7,5.2,2.8,77.7,80.9,16.9,,,,,,,,
2013,10750120260001,Western High School              ,Western CUSD 12                  ,Barry            ,Pike       ,UNIT       ,MEDIUM,HIGH SCHOOL,9 10 11 12                     ,98.9,0.0,0.6,0.0,0.0,0.6,0.0,177,172,89.4,17.3,4.5,67.3,78.0,20.1,,,,,,,,
2013,20020010220001,Cairo Jr/Sr High School          ,Cairo USD 1                      ,Cairo            ,Alexander  ,UNIT       ,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12                 ,4.1,87.1,0.6,0.0,0.6,0.0,7.6,171,180,90.1,42.6,4.5,65.0,75.0,12.1,,,,,,,,
